outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,KNN,1.0101540088653564,0.11922539407869916,137.6843779683113,6.47219269013173,3,1,uniform,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.9634910415120485,0.964500551486003,0.9649979599706041,0.9648314914567107,0.9644552611063416,0.0005847738832915166,2
4,KNN,1.2709676623344421,0.10222366667663892,149.5333857536316,16.680258410146056,3,1,distance,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.9642124814426706,0.9659919621328712,0.9662078976156193,0.9659816742449904,0.9655985038590379,0.000805302403937795,1
4,KNN,1.4239879846572876,0.14667198361890726,27.731380343437195,8.94618710826345,3,2,uniform,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'uniform'}",0.9637585221928231,0.9622026239524506,0.963669442928842,0.9628876152502873,0.9631295510811008,0.0006334064087727872,5
4,KNN,1.417420506477356,0.14513883854165918,35.105297327041626,11.816306897920368,3,2,distance,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}",0.9646725052826329,0.9635115154163164,0.9648420561483971,0.9636381741088585,0.9641660627390513,0.0005959340867526005,3
4,KNN,1.4874317049980164,0.07519949029141364,156.18064588308334,20.138815477353727,5,1,uniform,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.9600453829688149,0.9595556685846629,0.9609610473955112,0.9605982302170866,0.9602900822915188,0.0005348809601576956,9
4,KNN,1.547906219959259,0.08220188470798388,164.888043820858,19.033529377706785,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.9634815370416886,0.9631813691019606,0.9647443107590006,0.9631757643676213,0.9636457453175677,0.0006462077355448225,4
4,KNN,1.3853573203086853,0.013199172290394887,31.40524810552597,8.937440198063598,5,2,uniform,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.9576758217998734,0.9563181613776185,0.9598730345733654,0.9586722460888084,0.9581348159599165,0.0013058660538047997,13
4,KNN,1.2870267033576965,0.01607625006859478,22.431442081928253,1.594776198998872,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.9620461534989657,0.9599194503112017,0.9629012807704409,0.9616422601225131,0.9616272861757804,0.001085753151167257,7
4,KNN,1.3348743915557861,0.10234964064206026,149.60569667816162,18.780681421998665,7,1,uniform,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.9583814302268318,0.9577122851523903,0.9600074820316694,0.9583210359306595,0.9586055583353877,0.000850663481862204,12
4,KNN,1.3743642568588257,0.0984374870910962,158.45960241556168,9.414738895249734,7,1,distance,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.9621022942619628,0.9613260328504533,0.9636228109712163,0.9616016898957629,0.9621632069948489,0.000887456496041585,6
4,KNN,1.3702829480171204,0.11457674630818383,31.661420047283173,10.745278746736352,7,2,uniform,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'uniform'}",0.9570997657335157,0.9548794366752381,0.9579701270709591,0.9552914676019815,0.9563101992704236,0.001271187566677236,15
4,KNN,1.2984315156936646,0.02385894912648468,21.40553778409958,0.12938229870309834,7,2,distance,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.9606552847758703,0.9586415270317551,0.9615762290634267,0.959272543983978,0.9600363962137575,0.0011492648216439752,10
4,KNN,1.3605177998542786,0.11195391888382424,140.02972000837326,7.063713001704358,9,1,uniform,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'uniform'}",0.9562204460821401,0.9547766439147052,0.9574431855193228,0.9555308526986447,0.9559927820537031,0.0009807996514472135,17
4,KNN,1.3498753309249878,0.025470087904668263,136.47248899936676,5.271501570035038,9,1,distance,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}",0.9605129896362047,0.9595143398448296,0.9618290230616057,0.9597310930601844,0.9603968614007061,0.0009064580202439441,8
4,KNN,1.2814189791679382,0.017571261440343714,22.589092254638672,0.18277470619227926,9,2,uniform,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'uniform'}",0.9541031825328032,0.952700045500927,0.9545555880980549,0.952762809941688,0.9535304065183683,0.0008151339702554961,19
4,KNN,1.3253782391548157,0.021172028957158345,22.104452192783356,0.3417121115625104,9,2,distance,"{'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}",0.9582301047999684,0.9566659910859244,0.9589533440200498,0.9572432403123715,0.9577731700545785,0.000881514428501645,14
4,KNN,1.3058336973190308,0.02742533719966548,118.79365938901901,3.030799162876262,11,1,uniform,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'uniform'}",0.9548347705720381,0.9530776337340624,0.9556982446144887,0.953864368971858,0.9543687544731119,0.0009881943808223456,18
4,KNN,1.3571254014968872,0.12196604265574773,116.61422610282898,2.062012305374263,11,1,distance,"{'model__n_neighbors': 11, 'model__p': 1, 'model__weights': 'distance'}",0.9588815774302853,0.9580585980202916,0.9599194609048011,0.9582212684832865,0.9587702262096662,0.0007315922266023084,11
4,KNN,1.2910327911376953,0.008685115921557981,23.829161942005157,0.44412187685037446,11,2,uniform,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'uniform'}",0.9524842560232611,0.9507575606162698,0.9537407211504351,0.9517800967092397,0.9521906586248015,0.001085267738201391,20
4,KNN,1.3109484910964966,0.03357455624507451,25.50470668077469,2.5411083226742277,11,2,distance,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",0.9566666909397743,0.9550553985867433,0.958057266241808,0.9554395855026274,0.9563047353177382,0.0011738508191145658,16
