outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Decision Tree,18.000171422958374,0.2532119164444471,0.12399041652679443,0.0023742498097884526,gini,30,1,2,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9263539400771824,0.9251571210952411,0.9269721741762038,0.9256630479149255,0.9260365708158882,0.0006872095867597865,38
2,Decision Tree,17.917867243289948,0.2798774725609306,0.13741534948349,0.00810493767868077,gini,30,1,5,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.923944973709398,0.9245681443183865,0.9270290848035689,0.9241130665018502,0.9249138173333009,0.0012423471903679375,55
2,Decision Tree,17.809459030628204,0.3408059828071363,0.13168209791183472,0.008597183148353709,gini,30,1,10,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9242218104765798,0.924161895618303,0.9268049996766271,0.9230109228617928,0.9245499071583256,0.0013885347779977854,67
2,Decision Tree,17.49448013305664,0.1818486693731565,0.12109524011611938,0.004019646779947371,gini,30,2,2,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9248229070178872,0.9239495947331119,0.9276009052419957,0.9237054266413659,0.9250197084085902,0.0015470768987245781,51
2,Decision Tree,17.62362939119339,0.36667410656423594,0.13024955987930298,0.002909516967091959,gini,30,2,5,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9251864820087514,0.9243914629639975,0.9268508553337066,0.9254812470559244,0.9254775118405949,0.000887452368762262,46
2,Decision Tree,17.811763286590576,0.168797651709058,0.13518959283828735,0.0010438192396752806,gini,30,2,10,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9248647563967258,0.9243597302352267,0.926937147258686,0.924084561924315,0.9250615489537384,0.0011184419387403432,50
2,Decision Tree,16.394037067890167,0.22280794459820136,0.12228792905807495,0.0031823160445814402,gini,30,5,2,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9236259243530116,0.9241966639869891,0.9266774636145397,0.9233209535757297,0.9244552513825676,0.0013209380645613168,68
2,Decision Tree,16.646268665790558,0.16039457292110437,0.1310194730758667,0.006763208298845293,gini,30,5,5,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9236259243530116,0.9241966639869891,0.9266774636145397,0.9233209535757297,0.9244552513825676,0.0013209380645613168,68
2,Decision Tree,16.49242925643921,0.34887030981481026,0.12828028202056885,0.005318845806191363,gini,30,5,10,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9236259243530116,0.9241966639869891,0.9266774636145397,0.9233209535757297,0.9244552513825676,0.0013209380645613168,68
2,Decision Tree,18.09094798564911,0.45401946618561867,0.13128024339675903,0.0068512188054081135,gini,40,1,2,"{'model__criterion': 'gini', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.926387796377862,0.924610324064083,0.9266026942291339,0.9254300399236765,0.9257577136486888,0.0007960636525833001,40
