outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
5,Random Forest,322.66548347473145,5.64166671654328,2.507291793823242,0.2065693945927266,20,log2,1,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9668837160045209,0.9645219859806065,0.9669070531420267,0.9624039335268081,0.9651791721634906,0.0018724906909976038,14
5,Random Forest,514.7844905257225,5.827758032910876,3.8448795080184937,0.41072416149409974,20,log2,1,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9671931824334726,0.9642729445021782,0.966721691166653,0.9622387880002722,0.965106651525644,0.0019925908305826914,15
5,Random Forest,647.695847928524,5.867055010724576,5.040461957454681,0.49110965018615543,20,log2,1,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9673723841141011,0.9642204222529396,0.9669155106805454,0.9624004712231279,0.9652271970676785,0.002028312404893158,11
5,Random Forest,318.7975695133209,7.539918185727129,2.3144041895866394,0.1695048053518741,20,log2,2,500,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9642170772149444,0.9628244785887496,0.9649902815169455,0.9608751268776067,0.9632267410495616,0.0015638690004028215,35
5,Random Forest,508.81720662117004,11.305630543771809,3.931413233280182,0.3790894974362009,20,log2,2,800,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9645335327234719,0.9631373205131646,0.9650901294873878,0.9611505172963792,0.963477875005101,0.0015203904926313005,31
5,Random Forest,634.4026993513107,7.920279562619105,4.754269480705261,0.5571803489053617,20,log2,2,1000,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9649460917573024,0.9628444655859719,0.9653534041466261,0.961248745956934,0.9635981768617086,0.0016572268742514578,27
5,Random Forest,470.9384665489197,3.195927334220628,2.3770041465759277,0.10081120017555442,20,sqrt,1,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9668956886266648,0.9645810453823542,0.9655505124661506,0.9624657995410592,0.9648732615040572,0.0016147866497606342,18
5,Random Forest,767.6580747365952,10.214430530999993,3.9682835936546326,0.3602104656132037,20,sqrt,1,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9670518074706843,0.9650029797041936,0.9655148505281868,0.9626062640529626,0.9650439754390068,0.0015966551184400338,16
5,Random Forest,957.2683516740799,13.910197324185985,4.409055948257446,0.28917438330414674,20,sqrt,1,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9665964214237133,0.9649510424758181,0.9655025056181603,0.9627517931014584,0.9649504406547875,0.0014007212286359656,17
5,Random Forest,480.69294160604477,10.258478097886176,2.534729540348053,0.16922520028178126,20,sqrt,2,500,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.964920871952672,0.9631202162240508,0.9647138284524032,0.9611342420255868,0.9634722896636783,0.001519064817311192,32
5,Random Forest,754.7767248153687,13.736548351971264,3.449324667453766,0.03394966711228043,20,sqrt,2,800,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9651269454769256,0.9629057921853857,0.9646349557012903,0.9606966970775693,0.9633410976102927,0.0017353433632006556,34
5,Random Forest,939.343506872654,15.573976470065604,4.565056204795837,0.284390541126564,20,sqrt,2,1000,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9650764132570786,0.9624798894282509,0.9645129469337348,0.9607945310560315,0.963215945168774,0.00169916004576207,36
5,Random Forest,325.5547505021095,1.9455445496386035,2.551105558872223,0.2647201385116357,30,log2,1,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9673294361703562,0.9644408624968221,0.9670896627293779,0.9623577888375768,0.9653044375585332,0.002044269359723999,9
5,Random Forest,525.0612595677376,8.112406229684927,3.99561607837677,0.3242445056301116,30,log2,1,800,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9670316468458477,0.9645049539324041,0.9673284938753781,0.9626525802512566,0.9653794187262217,0.0019189247275830576,5
5,Random Forest,665.9272620677948,1.5529142300134773,5.505875289440155,0.4378494356012716,30,log2,1,1000,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9671736689078033,0.9644969781136906,0.9673263957291092,0.9629134015124414,0.9654776110657611,0.0018595314298907597,2
5,Random Forest,326.1077489256859,1.319780474421555,2.348671853542328,0.196403062389104,30,log2,2,500,"{'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9648606419142876,0.9627050690465789,0.9652015864857371,0.9611495977646467,0.9634792238028125,0.001650857525238136,30
