outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3,Decision Tree,16.586914896965027,0.24538351478511902,0.12294721603393555,0.004018097519874529,gini,,1,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9250384524770155,0.9232955087442373,0.9258488946575428,0.924064986375413,0.9245619605635521,0.0009661945275401524,44
3,Decision Tree,16.85456371307373,0.1830612667269004,0.12581086158752441,0.005781098646683054,gini,,1,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9256059869225296,0.9238541772914122,0.9243832456451408,0.9219769255445597,0.9239550838509105,0.0013069139119175443,65
3,Decision Tree,17.15812212228775,0.23927682679725598,0.13182944059371948,0.009999159870836353,gini,,1,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9251711662662578,0.9226923603023536,0.9240080259212011,0.922172210665609,0.9235109407888553,0.001168943392596958,68
3,Decision Tree,17.07202035188675,0.26754247533396686,0.13060760498046875,0.005052057044926037,gini,,2,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9266893510654165,0.9227372416756716,0.924492324175029,0.9232318098825262,0.9242876816996608,0.0015271397977379946,49
3,Decision Tree,17.254769206047058,0.1613329148214756,0.14126890897750854,0.0042085548794743854,gini,,2,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9254829478173099,0.9239512931170921,0.924364619156141,0.9233342824667037,0.9242832856393117,0.0007836821005211511,52
3,Decision Tree,17.253884255886078,0.3774333728565663,0.1278623342514038,0.00870854316589413,gini,,2,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9253196084520402,0.9236578398135216,0.9236567129933717,0.9209150168087223,0.9233872945169139,0.001580488475383288,70
3,Decision Tree,16.394946336746216,0.12708877433709564,0.12460434436798096,0.0052014234847108445,gini,,5,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9261920610885421,0.923778977362566,0.9244170324151988,0.9221438806706261,0.9241329878842333,0.0014493390487519868,54
3,Decision Tree,16.636595845222473,0.09363774071529872,0.12380588054656982,0.001351750887899214,gini,,5,5,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9261920610885421,0.923778977362566,0.9244170324151988,0.9221438806706261,0.9241329878842333,0.0014493390487519868,54
3,Decision Tree,16.701822817325592,0.2315736223549782,0.13116884231567383,0.006004880497159842,gini,,5,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9261920610885421,0.923778977362566,0.9244170324151988,0.9221438806706261,0.9241329878842333,0.0014493390487519868,54
3,Decision Tree,16.52931499481201,0.19217482006868297,0.1378464698791504,0.004941709414740629,gini,20,1,2,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9261360924998089,0.9275973906195106,0.9261272094356582,0.9232724553158763,0.9257832869677135,0.0015682794753140614,37
