outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,Random Forest,1027.5543128848076,6.797517803856805,5.867389678955078,0.5760950043065187,30,sqrt,1,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9662598210398344,0.9648619534343068,0.9640973219949254,0.9672727535428739,0.9656229625029851,0.001228221583601528,7
1,Random Forest,1606.791174352169,12.455029817424226,8.653139531612396,1.2888225617167195,30,sqrt,1,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9659931035581277,0.9653248411378519,0.9644821122076487,0.9667391220162774,0.9656347947299765,0.0008325671441617884,6
1,Random Forest,2026.0063654184341,12.485302552071326,11.543365180492401,1.7377904365738133,30,sqrt,1,1000,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9661336139959769,0.9655254565891452,0.9640924518991653,0.9671538150866108,0.9657263343927245,0.001108320993820575,3
1,Random Forest,1001.9522604942322,6.180005863860734,4.99958461523056,0.6638991819012754,30,sqrt,2,500,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9638136195543663,0.9637670910015929,0.9626845371310319,0.9657212119329335,0.9639966149049812,0.001093383683146838,27
1,Random Forest,1594.8674907684326,5.095958586857286,7.646718800067902,1.5541264860612485,30,sqrt,2,800,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9640336658268851,0.9643726542150601,0.9632402435598154,0.9655861777857923,0.9643081853468882,0.000844582964589367,19
1,Random Forest,1999.7974030971527,18.149806602038627,10.11720883846283,2.067182034609826,30,sqrt,2,1000,"{'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9640439775404729,0.9646915424534638,0.9627759580550949,0.9655418073909176,0.9642633213599873,0.0010097352559064318,20
1,Random Forest,684.0807509422302,8.151804258632055,5.272317111492157,0.7346086235456382,,log2,1,500,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9661636909104548,0.9646057598851905,0.9642799152807354,0.9665726092666003,0.9654054938357453,0.0009802452127154236,14
1,Random Forest,1089.8685468435287,6.847642788700525,9.018619358539581,0.6480769400389564,,log2,1,800,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.9663813783356409,0.9646977370251363,0.9649417868560783,0.967009981462362,0.9657577209198044,0.0009677834587445995,2
1,Random Forest,1360.1324998736382,10.475030139563392,11.222191035747528,1.557943546128056,,log2,1,1000,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9662153222157143,0.9645866257569075,0.9642864536298634,0.9671813123850739,0.9655674284968897,0.0011860921233342774,9
1,Random Forest,673.3702401518822,12.424150384663216,5.129307210445404,0.7916726639932213,,log2,2,500,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9637173425206329,0.9637530877064994,0.9627192417976509,0.9652979217965141,0.9638718984553243,0.0009219766091232421,31
1,Random Forest,1080.5731855034828,12.327395191039706,8.83989280462265,0.7791247135308279,,log2,2,800,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9644021742346408,0.9640294910572975,0.9625555052522711,0.9650893132223572,0.9640191209416417,0.0009265958893243569,26
1,Random Forest,1330.0326951146126,10.559553420611524,8.894251823425293,0.8220973906766506,,log2,2,1000,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9643185401272028,0.9638807789436628,0.962457944628469,0.9654876621261643,0.9640362314563746,0.0010841475879325344,25
1,Random Forest,1016.4622094631195,9.314057740469398,4.717785716056824,0.4720690747856967,,sqrt,1,500,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.9655314990820604,0.9650349174455572,0.9641297420645786,0.9673121417905721,0.965502075095692,0.0011596056904452944,11
1,Random Forest,1443.02269333601,8.867874893339485,4.088160932064056,0.28816998868206034,,sqrt,1,800,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 800}",0.965908364895862,0.9652140824560484,0.9641598602930412,0.9671723785510942,0.9656136715490115,0.001094263484977491,8
1,Random Forest,1592.5039149522781,8.453833055173,4.825843155384064,0.654862290241668,,sqrt,1,1000,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}",0.9658390063779303,0.9653220738797542,0.9642013028500727,0.9672358474256592,0.965649557633354,0.0010905152060106903,5
1,Random Forest,886.5140644311905,8.698690743337641,3.6916791200637817,0.41170395577273394,,sqrt,2,500,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.9641807635970641,0.9635754307715463,0.963097581943211,0.9654570322728352,0.9640777021461642,0.0008840369628869181,23
1,Random Forest,1151.719849705696,3.447571349929641,4.015619218349457,0.4354931717119801,,sqrt,2,800,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 800}",0.9643082991493788,0.9640948564224808,0.9629969577209547,0.9656223666478783,0.9642556199851731,0.0009328514287942555,21
1,Random Forest,1292.030357837677,12.753864630134126,4.023922145366669,0.1282003681336714,,sqrt,2,1000,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 1000}",0.9640564448759464,0.9643922415106475,0.9629476900847797,0.9656242428383155,0.9642551548274223,0.0009542201578197665,22
