outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__linear_svm__C,param_model__rbf_features__gamma,param_model__rbf_features__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,Approx RBF SVM,218.44573825597763,46.46467023162429,1.3793500065803528,0.09461887150304217,0.5,0.0005,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9017766528739792,0.9039335119816971,0.9029317379560017,0.903104054563771,0.9029364893438623,0.0007693138916975934,32
4,Approx RBF SVM,317.6298979520798,50.39387014081622,2.4718111753463745,0.08840010622832528,0.5,0.0005,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9033463131336507,0.9050635480640705,0.9039645530807315,0.90403334692938,0.9041019403019582,0.0006162877179039798,31
4,Approx RBF SVM,232.4915550351143,42.986787093378595,1.255157709121704,0.08875907986594953,0.5,0.001,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9138002929403803,0.9156474953421464,0.9159762129569781,0.9163763481748883,0.9154500873535982,0.000986858497888172,28
4,Approx RBF SVM,322.5082252025604,86.42366784666382,2.5879040956497192,0.10585395032525548,0.5,0.001,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9153359029169253,0.9169678277050713,0.9171398624535215,0.9183127354990741,0.916939082143648,0.0010604534659761,27
4,Approx RBF SVM,197.03838002681732,54.80744298689342,1.3330943584442139,0.045736667309454235,0.5,0.003,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9300034175699818,0.9319521972234021,0.932770206522327,0.9307289872505401,0.9313637021415627,0.0010697918188863965,24
4,Approx RBF SVM,359.4296684861183,53.57118153069018,2.5677252411842346,0.06899639776558898,0.5,0.003,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 500}",0.9341386425673472,0.9345726448575409,0.9364597967558154,0.9358385759863677,0.9352524150417678,0.0009359396193841016,21
4,Approx RBF SVM,187.5803394317627,41.88496240043338,1.2972992062568665,0.11674068914160432,0.5,0.01,300,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 300}",0.9346911734302251,0.9372030240032636,0.9383756695870615,0.9352062868414877,0.9363690384655095,0.0014907483649965437,20
4,Approx RBF SVM,307.5328446626663,54.92468818732677,2.4411381483078003,0.017788376919259993,0.5,0.01,500,"{'model__linear_svm__C': 0.5, 'model__rbf_features__gamma': 0.01, 'model__rbf_features__n_components': 500}",0.9420569550112966,0.9424098829848796,0.9442011220840321,0.9425876481124502,0.9428139020481647,0.0008233727119991443,13
4,Approx RBF SVM,203.37841773033142,42.59041656376643,1.2740731239318848,0.08992733623646969,1.0,0.0005,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 300}",0.9122636889257104,0.9132107663314687,0.9138809405816818,0.9142358024134881,0.9133977995630873,0.0007511428606912142,30
4,Approx RBF SVM,374.63210141658783,59.855151846996606,2.448962390422821,0.027161238755314683,1.0,0.0005,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.0005, 'model__rbf_features__n_components': 500}",0.9132799678498985,0.9140056666892881,0.9148080952866273,0.9163518646554208,0.9146113986203086,0.0011410007303429854,29
4,Approx RBF SVM,216.1998109817505,41.16535353858659,1.2800806760787964,0.08786491905142045,1.0,0.001,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 300}",0.9232347694517995,0.924533092135243,0.9242661235416028,0.9242227454632863,0.924064182647983,0.0004933874360375082,26
4,Approx RBF SVM,447.72281163930893,85.10989973924937,2.5289673805236816,0.10547105717890304,1.0,0.001,500,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.001, 'model__rbf_features__n_components': 500}",0.9251570883586341,0.9269605447648591,0.9279852680482678,0.9265539856963922,0.9266642217170383,0.001014467064298697,25
4,Approx RBF SVM,183.23925656080246,10.486490307003923,1.2760874032974243,0.09495579208520866,1.0,0.003,300,"{'model__linear_svm__C': 1.0, 'model__rbf_features__gamma': 0.003, 'model__rbf_features__n_components': 300}",0.9373618393508943,0.9375308217338202,0.9394369655002788,0.9375626102802,0.9379730592162984,0.0008486244240231839,18
